Rownumber	Review	Liked
2	Wow... Loved this place.	1
3	Crust is not good.	0
4	Not tasty and the texture was just nasty.	0
5	Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.	1
6	The selection on the menu was great and so were the prices.	1
7	Now I am getting angry and I want my damn pho.	0
8	Honeslty it didn't taste THAT fresh.)	0
9	The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0
10	The fries were great too.	1
11	A great touch.	1
12	Service was very prompt.	1
13	Would not go back.	0
14	The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	0
15	I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!	1
16	I was disgusted because I was pretty sure that was human hair.	0
17	I was shocked because no signs indicate cash only.	0
18	Highly recommended.	1
19	Waitress was a little slow in service.	0
20	This place is not worth your time, let alone Vegas.	0
21	did not like at all.	0
22	The Burrittos Blah!	0
23	The food, amazing.	1
24	Service is also cute.	1
25	I could care less... The interior is just beautiful.	1
26	So they performed.	1
27	That's right....the red velvet cake.....ohhh this stuff is so good.	1
28	- They never brought a salad we asked for.	0
29	This hole in the wall has great Mexican street tacos, and friendly staff.	1
30	Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.	0
31	The worst was the salmon sashimi.	0
32	Also there are combos like a burger, fries, and beer for 23 which is a decent deal.	1
33	This was like the final blow!	0
34	I found this place by accident and I could not be happier.	1
35	seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.	0
36	Overall, I like this place a lot.	1
37	The only redeeming quality of the restaurant was that it was very inexpensive.	1
38	Ample portions and good prices.	1
39	Poor service, the waiter made me feel like I was stupid every time he came to the table.	0
40	My first visit to Hiro was a delight!	1
41	Service sucks.	0
42	The shrimp tender and moist.	1
43	There is not a deal good enough that would drag me into that establishment again.	0
44	Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	0
45	On a positive note, our server was very attentive and provided great service.	1
46	Frozen pucks of disgust, with some of the worst people behind the register.	0
47	The only thing I did like was the prime rib and dessert section.	1
48	It's too bad the food is so damn generic.	0
49	The burger is good beef, cooked just right.	1
50	If you want a sandwich just go to any Firehouse!!!!!	1
51	My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.	1
52	We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.	1
53	He came running after us when he realized my husband had left his sunglasses on the table.	1
54	Their chow mein is so good!	1
55	They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.	0
56	The portion was huge!	1
57	Loved it...friendly servers, great food, wonderful and imaginative menu.	1
58	The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.	0
59	Not much seafood and like 5 strings of pasta at the bottom.	0
60	The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.	1
61	The ripped banana was not only ripped, but petrified and tasteless.	0
62	At least think to refill my water before I struggle to wave you over for 10 minutes.	0
63	This place receives stars for their APPETIZERS!!!	1
64	The cocktails are all handmade and delicious.	1
65	We'd definitely go back here again.	1
66	We are so glad we found this place.	1
67	Great food and service, huge portions and they give a military discount.	1
68	Always a great time at Dos Gringos!	1
69	Update.....went back for a second time and it was still just as amazing	1
70	We got the food and apparently they have never heard of salt and the batter on the fish was chewy.	0
71	A great way to finish a great.	1
72	The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.	1
73	- Really, really good rice, all the time.	1
74	The service was meh.	0
75	It took over 30 min to get their milkshake, which was nothing more than chocolate milk.	0
76	I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.	0
77	The scallop dish is quite appalling for value as well.	0
78	2 times - Very Bad Customer Service !	0
79	The sweet potato fries were very good and seasoned well.	1
80	Today is the second time I've been to their lunch buffet and it was pretty good.	1
81	There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.	0
82	Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.	0
83	walked in and the place smelled like an old grease trap and only 2 others there eating.	0
84	The turkey and roast beef were bland.	0
85	This place has it!	1
86	The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.	0
87	I love the Pho and the spring rolls oh so yummy you have to try.	1
88	The poor batter to meat ratio made the chicken tenders very unsatisfying.	0
89	All I have to say is the food was amazing!!!	1
90	Omelets are to die for!	1
91	Everything was fresh and delicious!	1
92	In summary, this was a largely disappointing dining experience.	0
93	It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.	1
94	Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!	0
95	Best breakfast buffet!!!	1
96	say bye bye to your tip lady!	0
97	We'll never go again.	0
98	Will be back again!	1
99	Food arrived quickly!	1
100	It was not good.	0
101	On the up side, their cafe serves really good food.	1
102	Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!	1
103	The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.	1
104	Best Buffet in town, for the price you cannot beat it.	1
105	I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.	1
106	This is one of the better buffets that I have been to.	1
107	So we went to Tigerlilly and had a fantastic afternoon!	1
108	The food was delicious, our bartender was attentive and personable AND we got a great deal!	1
109	The ambience is wonderful and there is music playing.	1
110	Will go back next trip out.	1
111	Sooooo good!!	1
112	REAL sushi lovers, let's be honest - Yama is not that good.	0
113	At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.	0
114	This is a really fantastic Thai restaurant which is definitely worth a visit.	1
115	Nice, spicy and tender.	1
116	Good prices.	1
117	Check it out.	1
118	It was pretty gross!	0
119	I've had better atmosphere.	0
120	Kind of hard to mess up a steak but they did.	0
121	Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.	0
122	I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.	0
123	Worst service to boot, but that is the least of their worries.	0
124	Service was fine and the waitress was friendly.	1
125	The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.	1
126	We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.	1
127	Host staff were, for lack of a better word, BITCHES!	0
128	Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...	0
129	Phenomenal food, service and ambiance.	1
130	I wouldn't return.	0
131	Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.	1
132	This place is way too overpriced for mediocre food.	0
133	Penne vodka excellent!	1
134	They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.	1
135	The management is rude.	0
136	Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.	1
137	Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.	1
138	I had a seriously solid breakfast here.	1
139	This is one of the best bars with food in Vegas.	1
140	He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.	0
141	My drink was never empty and he made some really great menu suggestions.	1
142	Don't do it!!!!	0
143	The waiter wasn't helpful or friendly and rarely checked on us.	0
144	My husband and I ate lunch here and were very disappointed with the food and service.	0
145	And the red curry had so much bamboo shoots and wasn't very tasty to me.	0
146	Nice blanket of moz over top but i feel like this was done to cover up the subpar food.	1
147	The bathrooms are clean and the place itself is well decorated.	1
148	The menu is always changing, food quality is going down & service is extremely slow.	0
149	The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.	0
150	I give it 2 thumbs down	0
151	We watched our waiter pay a lot more attention to other tables and ignore us.	0
152	My fiancé and I came in the middle of the day and we were greeted and seated right away.	1
153	This is a great restaurant at the Mandalay Bay.	1
154	We waited for forty five minutes in vain.	0
155	Crostini that came with the salad was stale.	0
156	Some highlights : Great quality nigiri here!	1
157	the staff is friendly and the joint is always clean.	1
158	this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.	1
159	I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.	1
160	this place is good.	1
161	Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.	0
162	I came back today since they relocated and still not impressed.	0
163	I was seated immediately.	1
164	Their menu is diverse, and reasonably priced.	1
165	Avoid at all cost!	0
166	Restaurant is always full but never a wait.	1
167	DELICIOUS!!	1
168	This place is hands-down one of the best places to eat in the Phoenix metro area.	1
169	So don't go there if you are looking for good food...	0
170	I've never been treated so bad.	0
171	Bacon is hella salty.	1
172	We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.	0
173	This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.	1
174	The waitresses are very friendly.	1
175	Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!	1
176	Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.	1
177	Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.	0
178	The service here leaves a lot to be desired.	0
179	The atmosphere is modern and hip, while maintaining a touch of coziness.	1
180	Not a weekly haunt, but definitely a place to come back to every once in a while.	1
181	We literally sat there for 20 minutes with no one asking to take our order.	0
182	The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.	0
183	I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.	0
184	I dressed up to be treated so rudely!	0
185	It was probably dirt.	0
186	Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.	1
187	I ordered the Lemon raspberry ice cocktail which was also incredible.	1
188	The food sucked, which we expected but it sucked more than we could have imagined.	0
189	Interesting decor.	1
190	What I really like there is the crepe station.	1
191	Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.	1
192	you can watch them preparing the delicious food!)	1
193	Both of the egg rolls were fantastic.	1
194	When my order arrived, one of the gyros was missing.	0
195	I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.	1
196	I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.	0
197	The best place to go for a tasty bowl of Pho!	1
198	The live music on Fridays totally blows.	0
199	I've never been more insulted or felt disrespected.	0
200	Very friendly staff.	1
201	It is worth the drive.	1
202	I had heard good things about this place, but it exceeding every hope I could have dreamed of.	1
203	Food was great and so was the serivce!	1
204	The warm beer didn't help.	0
205	Great brunch spot.	1
206	Service is friendly and inviting.	1
207	Very good lunch spot.	1
208	I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.	0
209	The WORST EXPERIENCE EVER.	0
210	Must have been an off night at this place.	0
211	The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.	1
212	If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.	0
213	For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.	0
214	My friend loved the salmon tartar.	1
215	Won't go back.	0
216	Extremely Tasty!	1
217	Waitress was good though!	1
218	Soggy and not good.	0
219	The Jamaican mojitos are delicious.	1
220	Which are small and not worth the price.	0
221	- the food is rich so order accordingly.	1
222	The shower area is outside so you can only rinse, not take a full shower, unless you don't mind being nude for everyone to see!	0
223	The service was a bit lacking.	0
224	Lobster Bisque, Bussell Sprouts, Risotto, Filet ALL needed salt and pepper..and of course there is none at the tables.	0
225	Hopefully this bodes for them going out of business and someone who can cook can come in.	0
226	It was either too cold, not enough flavor or just bad.	0
227	I loved the bacon wrapped dates.	1
228	This is an unbelievable BARGAIN!	1
229	The folks at Otto always make us feel so welcome and special.	1
230	"As for the ""mains,"" also uninspired."	0
231	This is the place where I first had pho and it was amazing!!	1
232	This wonderful experience made this place a must-stop whenever we are in town again.	1
233	If the food isn't bad enough for you, then enjoy dealing with the world's worst/annoying drunk people.	0
234	Very very fun chef.	1
235	Ordered a double cheeseburger & got a single patty that was falling apart (picture uploaded) Yeah, still sucks.	0
236	Great place to have a couple drinks and watch any and all sporting events as the walls are covered with TV's.	1
237	If it were possible to give them zero stars, they'd have it.	0
238	"The descriptions said ""yum yum sauce"" and another said ""eel sauce"", yet another said ""spicy mayo""...well NONE of the rolls had sauces on them."	0
239	I'd say that would be the hardest decision... Honestly, all of M's dishes taste how they are supposed to taste (amazing).	1
240	If she had not rolled the eyes we may have stayed... Not sure if we will go back and try it again.	0
241	Everyone is very attentive, providing excellent customer service.	1
242	Horrible - don't waste your time and money.	0
243	Now this dish was quite flavourful.	1
244	By this time our side of the restaurant was almost empty so there was no excuse.	0
245	(It wasn't busy either) Also, the building was FREEZING cold.	0
246	"like the other reviewer said ""you couldn't pay me to eat at this place again."""	0
247	-Drinks took close to 30 minutes to come out at one point.	0
248	Seriously flavorful delights, folks.	1
249	Much better than the other AYCE sushi place I went to in Vegas.	1
250	The lighting is just dark enough to set the mood.	1
251	Based on the sub-par service I received and no effort to show their gratitude for my business I won't be going back.	0
252	Owner's are really great people.!	1
253	There is nothing privileged about working/eating there.	0
254	The Greek dressing was very creamy and flavorful.	1
255	Overall, I don't think that I would take my parents to this place again because they made most of the similar complaints that I silently felt too.	0
256	Now the pizza itself was good the peanut sauce was very tasty.	1
257	We had 7 at our table and the service was pretty fast.	1
258	Fantastic service here.	1
259	I as well would've given godfathers zero stars if possible.	0
260	They know how to make them here.	1
261	very tough and very short on flavor!	0
262	I hope this place sticks around.	1
263	I have been in more than a few bars in Vegas, and do not ever recall being charged for tap water.	0
264	The restaurant atmosphere was exquisite.	1
265	Good service, very clean, and inexpensive, to boot!	1
266	The seafood was fresh and generous in portion.	1
267	Plus, it's only 8 bucks.	1
268	The service was not up to par, either.	0
269	Thus far, have only visited twice and the food was absolutely delicious each time.	1
270	Just as good as when I had it more than a year ago!	1
271	For a self proclaimed coffee cafe, I was wildly disappointed.	0
272	The Veggitarian platter is out of this world!	1
273	You cant go wrong with any of the food here.	1
274	You can't beat that.	1
275	Stopped by this place while in Madison for the Ironman, very friendly, kind staff.	1
276	The chefs were friendly and did a good job.	1
277	I've had better, not only from dedicated boba tea spots, but even from Jenni Pho.	0
278	I liked the patio and the service was outstanding.	1
279	The goat taco didn't skimp on the meat and wow what FLAVOR!	1
280	I think not again	0
281	I had the mac salad and it was pretty bland so I will not be getting that again.	0
282	I went to Bachi Burger on a friend's recommendation and was not disappointed.	1
283	Service stinks here!	0
284	I waited and waited.	0
285	This place is not quality sushi, it is not a quality restaurant.	0
286	I would definitely recommend the wings as well as the pizza.	1
287	Great Pizza and Salads!	1
288	Things that went wrong: - They burned the saganaki.	0
289	We waited an hour for what was a breakfast I could have done 100 times better at home.	0
290	This place is amazing!	1
291	I hate to disagree with my fellow Yelpers, but my husband and I were so disappointed with this place.	0
292	Waited 2 hours & never got either of our pizzas as many other around us who came in later did!	0
293	Just don't know why they were so slow.	0
294	The staff is great, the food is delish, and they have an incredible beer selection.	1
295	I live in the neighborhood so I am disappointed I won't be back here, because it is a convenient location.	0
296	I didn't know pulled pork could be soooo delicious.	1
297	You get incredibly fresh fish, prepared with care.	1
298	Before I go in to why I gave a 1 star rating please know that this was my third time eating at Bachi burger before writing a review.	0
299	I love the fact that everything on their menu is worth it.	1
300	Never again will I be dining at this place!	0
301	The food was excellent and service was very good.	1
302	Good beer & drink selection and good food selection.	1
303	Please stay away from the shrimp stir fried noodles.	0
304	The potato chip order was sad... I could probably count how many chips were in that box and it was probably around 12.	0
305	Food was really boring.	0
306	Good Service-check!	1
307	This greedy corporation will NEVER see another dime from me!	0
308	Will never, ever go back.	0
309	As much as I'd like to go back, I can't get passed the atrocious service and will never return.	0
310	In the summer, you can dine in a charming outdoor patio - so very delightful.	1
311	I did not expect this to be so good!	1
312	Fantastic food!	1
313	She ordered a toasted English muffin that came out untoasted.	0
314	The food was very good.	1
315	Never going back.	0
316	Great food for the price, which is very high quality and house made.	1
317	The bus boy on the other hand was so rude.	0
318	By this point, my friends and I had basically figured out this place was a joke and didn't mind making it publicly and loudly known.	0
319	Back to good BBQ, lighter fare, reasonable pricing and tell the public they are back to the old ways.	1
320	And considering the two of us left there very full and happy for about $20, you just can't go wrong.	1
321	All the bread is made in-house!	1
322	The only downside is the service.	0
323	Also, the fries are without a doubt the worst fries I've ever had.	0
324	Service was exceptional and food was a good as all the reviews.	1
325	A couple of months later, I returned and had an amazing meal.	1
326	Favorite place in town for shawarrrrrrma!!!!!!	1
327	The black eyed peas and sweet potatoes... UNREAL!	1
328	You won't be disappointed.	1
329	They could serve it with just the vinaigrette and it may make for a better overall dish, but it was still very good.	1
330	I go to far too many places and I've never seen any restaurant that serves a 1 egg breakfast, especially for $4.00.	0
331	When my mom and I got home she immediately got sick and she only had a few bites of salad.	0
332	The servers are not pleasant to deal with and they don't always honor Pizza Hut coupons.	0
333	Both of them were truly unbelievably good, and I am so glad we went back.	1
334	We had fantastic service, and were pleased by the atmosphere.	1
335	Everything was gross.	0
336	I love this place.	1
337	Great service and food.	1
338	First - the bathrooms at this location were dirty- Seat covers were not replenished & just plain yucky!!!	0
339	"The burger... I got the ""Gold Standard"" a $17 burger and was kind of disappointed."	0
340	OMG, the food was delicioso!	1
341	There is nothing authentic about this place.	0
342	the spaghetti is nothing special whatsoever.	0
343	Of all the dishes, the salmon was the best, but all were great.	1
344	The vegetables are so fresh and the sauce feels like authentic Thai.	1
345	It's worth driving up from Tucson!	1
346	The selection was probably the worst I've seen in Vegas.....there was none.	0
347	Pretty good beer selection too.	1
348	This place is like Chipotle, but BETTER.	1
349	Classy/warm atmosphere, fun and fresh appetizers, succulent steaks (Baseball steak!!!!!	1
350	5 stars for the brick oven bread app!	1
351	I have eaten here multiple times, and each time the food was delicious.	1
352	We sat another ten minutes and finally gave up and left.	0
353	He was terrible!	0
354	Everyone is treated equally special.	1
355	It shouldn't take 30 min for pancakes and eggs.	0
356	It was delicious!!!	1
357	On the good side, the staff was genuinely pleasant and enthusiastic - a real treat.	1
358	Sadly, Gordon Ramsey's Steak is a place we shall sharply avoid during our next trip to Vegas.	0
359	As always the evening was wonderful and the food delicious!	1
360	Best fish I've ever had in my life!	1
361	(The bathroom is just next door and very nice.)	1
362	The buffet is small and all the food they offered was BLAND.	0
363	This is an Outstanding little restaurant with some of the Best Food I have ever tasted.	1
364	Pretty cool I would say.	1
365	Definitely a turn off for me & i doubt I'll be back unless someone else is buying.	0
366	Server did a great job handling our large rowdy table.	1
367	I find wasting food to be despicable, but this just wasn't food.	0
368	My wife had the Lobster Bisque soup which was lukewarm.	0
369	Would come back again if I had a sushi craving while in Vegas.	1
370	The staff are great, the ambiance is great.	1
371	He deserves 5 stars.	1
372	I left with a stomach ache and felt sick the rest of the day.	0
373	They dropped more than the ball.	0
374	The dining space is tiny, but elegantly decorated and comfortable.	1
375	They will customize your order any way you'd like, my usual is Eggplant with Green Bean stir fry, love it!	1
376	And the beans and rice were mediocre at best.	0
377	Best tacos in town by far!!	1
378	I took back my money and got outta there.	0
379	In an interesting part of town, this place is amazing.	1
380	RUDE & INCONSIDERATE MANAGEMENT.	0
381	The staff are now not as friendly, the wait times for being served are horrible, no one even says hi for the first 10 minutes.	0
382	I won't be back.	0
383	They have great dinners.	1
384	The service was outshining & I definitely recommend the Halibut.	1
385	The food was terrible.	0
386	WILL NEVER EVER GO BACK AND HAVE TOLD MANY PEOPLE WHAT HAD HAPPENED.	0
387	I don't recommend unless your car breaks down in front of it and you are starving.	0
388	I will come back here every time I'm in Vegas.	1
389	This place deserves one star and 90% has to do with the food.	0
390	This is a disgrace.	0
391	Def coming back to bowl next time	1
392	If you want healthy authentic or ethic food, try this place.	1
393	I will continue to come here on ladies night andddd date night ... highly recommend this place to anyone who is in the area.	1
394	I have been here several times in the past, and the experience has always been great.	1
395	We walked away stuffed and happy about our first Vegas buffet experience.	1
396	Service was excellent and prices are pretty reasonable considering this is Vegas and located inside the Crystals shopping mall by Aria.	1
397	To summarize... the food was incredible, nay, transcendant... but nothing brings me joy quite like the memory of the pneumatic condiment dispenser.	1
398	I'm probably one of the few people to ever go to Ians and not like it.	0
399	Kids pizza is always a hit too with lots of great side dish options for the kiddos!	1
400	Service is perfect and the family atmosphere is nice to see.	1
401	Cooked to perfection and the service was impeccable.	1
402	This one is simply a disappointment.	0
403	Overall, I was very disappointed with the quality of food at Bouchon.	0
404	I don't have to be an accountant to know I'm getting screwed!	0
405	Great place to eat, reminds me of the little mom and pop shops in the San Francisco Bay Area.	1
406	Today was my first taste of a Buldogis Gourmet Hot Dog and I have to tell you it was more than I ever thought possible.	1
407	Left very frustrated.	0
408	I'll definitely be in soon again.	1
409	Food was really good and I got full petty fast.	1
410	Service was fantastic.	1
411	TOTAL WASTE OF TIME.	0
412	I don't know what kind it is but they have the best iced tea.	1
413	Come hungry, leave happy and stuffed!	1
414	For service, I give them no stars.	0
415	I can assure you that you won't be disappointed.	1
416	I can take a little bad service but the food sucks.	0
417	Gave up trying to eat any of the crust (teeth still sore).	0
418	But now I was completely grossed out.	0
419	I really enjoyed eating here.	1
420	First time going but I think I will quickly become a regular.	1
421	Our server was very nice, and even though he looked a little overwhelmed with all of our needs, he stayed professional and friendly until the end.	1
422	From what my dinner companions told me...everything was very fresh with nice texture and taste.	1
423	On the ground, right next to our table was a large, smeared, been-stepped-in-and-tracked-everywhere pile of green bird poop.	0
424	Furthermore, you can't even find hours of operation on the website!	0
425	We've tried to like this place but after 10+ times I think we're done with them.	0
426	What a mistake that was!	0
427	No complaints!	1
428	This is some seriously good pizza and I'm an expert/connisseur on the topic.	1
429	Waiter was a jerk.	0
430	Strike 2, who wants to be rushed.	0
431	These are the nicest restaurant owners I've ever come across.	1
432	I never come again.	0
433	We loved the biscuits!!!	1
434	Service is quick and friendly.	1
435	Ordered an appetizer and took 40 minutes and then the pizza another 10 minutes.	0
436	So absolutley fantastic.	1
437	It was a huge awkward 1.5lb piece of cow that was 3/4ths gristle and fat.	0
438	definitely will come back here again.	1
439	I like Steiners because it's dark and it feels like a bar.	1
440	Wow very spicy but delicious.	1
441	If you're not familiar, check it out.	1
442	I'll take my business dinner dollars elsewhere.	0
443	I'd love to go back.	1
444	Anyway, this FS restaurant has a wonderful breakfast/lunch.	1
445	Nothing special.	0
446	Each day of the week they have a different deal and it's all so delicious!	1
447	Not to mention the combination of pears, almonds and bacon is a big winner!	1
448	Will not be back.	0
449	Sauce was tasteless.	0
450	The food is delicious and just spicy enough, so be sure to ask for spicier if you prefer it that way.	1
451	My ribeye steak was cooked perfectly and had great mesquite flavor.	1
452	I don't think we'll be going back anytime soon.	0
453	Food was so gooodd.	1
454	I am far from a sushi connoisseur but I can definitely tell the difference between good food and bad food and this was certainly bad food.	0
455	I was so insulted my id is 977.	0
456	The last 3 times I had lunch here has been bad.	0
457	The chicken wings contained the driest chicken meat I have ever eaten.	0
458	The food was very good and I enjoyed every mouthful, an enjoyable relaxed venue for couples small family groups etc.	1
459	Nargile - I think you are great.	1
460	Best tater tots in the southwest.	1
461	We loved the place.	1
462	Definitely not worth the $3 I paid.	0
463	The vanilla ice cream was creamy and smooth while the profiterole (choux) pastry was fresh enough.	1
464	Im in AZ all the time and now have my new spot.	1
465	The manager was the worst.	0
466	The inside is really quite nice and very clean.	1
467	The food was outstanding and the prices were very reasonable.	1
468	I don't think I'll be running back to Carly's anytime soon for food.	0
469	This is was due to the fact that it took 20 minutes to be acknowledged, then another 35 minutes to get our food...and they kept forgetting things.	0
470	Love the margaritas, too!	1
471	This was my first and only Vegas buffet and it did not disappoint.	1
472	Very good, though!	1
473	The one down note is the ventilation could use some upgrading.	0
474	Great pork sandwich.	1
475	Don't waste your time here.	0
476	Total letdown, I would much rather just go to the Camelback Flower Shop and Cartel Coffee.	0
477	Third, the cheese on my friend's burger was cold.	0
478	We enjoy their pizza and brunch.	1
479	The steaks are all well trimmed and also perfectly cooked.	1
480	We had a group of 70+ when we claimed we would only have 40 and they handled us beautifully.	1
481	I LOVED it!	1
482	We asked for the bill to leave without eating and they didn't bring that either.	0
483	This place is a jewel in Las Vegas, and exactly what I've been hoping to find in nearly ten years living here.	1
484	Seafood was limited to boiled shrimp and crab legs but the crab legs definitely did not taste fresh.	0
485	The selection of food was not the best.	0
486	Delicious and I will absolutely be back!	1
487	This isn't a small family restaurant, this is a fine dining establishment.	1
488	They had a toro tartare with a cavier that was extraordinary and I liked the thinly sliced wagyu with white truffle.	1
489	I dont think I will be back for a very long time.	0
490	It was attached to a gas station, and that is rarely a good sign.	0
491	How awesome is that.	1
492	I will be back many times soon.	1
493	The menu had so much good stuff on it i could not decide!	1
494	Worse of all, he humiliated his worker right in front of me..Bunch of horrible name callings.	0
495	CONCLUSION: Very filling meals.	1
496	Their daily specials are always a hit with my group.	1
